timestamp,Эхо Москвы
2020-12-06 18:27:04.279356480,6620
2020-12-06 18:27:09.398541927,6613
2020-12-06 18:27:14.509597540,6615
2020-12-06 18:27:19.626034737,6626
2020-12-06 18:27:24.732858181,6628
2020-12-06 18:27:29.842674017,6644
2020-12-06 18:27:34.953420401,6668
2020-12-06 18:27:40.073716402,6673
2020-12-06 18:27:45.159005404,6679
2020-12-06 18:27:50.290719271,6686
2020-12-06 18:27:55.368095398,6669
2020-12-06 18:28:00.489167690,6684
2020-12-06 18:28:05.618829489,6701
2020-12-06 18:28:10.733420610,6694
2020-12-06 18:28:15.813993454,6700
2020-12-06 18:28:20.902376175,6729
2020-12-06 18:28:26.018462658,6728
2020-12-06 18:28:31.097553492,6736
2020-12-06 18:28:36.181474924,6738
2020-12-06 18:28:41.304098129,6738
2020-12-06 18:28:46.421792507,6744
2020-12-06 18:28:51.490781546,6744
2020-12-06 18:28:56.575643063,6749
2020-12-06 18:29:01.648132324,6766
2020-12-06 18:29:06.722012520,6766
2020-12-06 18:29:11.841170788,6773
2020-12-06 18:29:16.935045481,6776
2020-12-06 18:29:22.049224377,6777
2020-12-06 18:29:27.133126736,6788
2020-12-06 18:29:32.261592627,6818
2020-12-06 18:29:37.338299990,6811
2020-12-06 18:29:42.459938049,6798
2020-12-06 18:29:47.580834627,6801
2020-12-06 18:29:52.664309025,6797
2020-12-06 18:29:57.789744616,6813
2020-12-06 18:30:02.883952618,6819
2020-12-06 18:30:08.001058102,6820
2020-12-06 18:30:13.084333897,6829
2020-12-06 18:30:18.159011841,6832
2020-12-06 18:30:23.225249529,6833
2020-12-06 18:30:28.309244633,6835
2020-12-06 18:30:33.417140484,6849
2020-12-06 18:30:38.531002997,6828
2020-12-06 18:30:43.614323139,6844
2020-12-06 18:30:48.685735226,6855
2020-12-06 18:30:53.763950109,6837
2020-12-06 18:30:58.842999220,6844
2020-12-06 18:31:03.958484650,6860
2020-12-06 18:31:09.031634092,6841
2020-12-06 18:31:14.140125751,6834
2020-12-06 18:31:19.259813069,6857
2020-12-06 18:31:24.333929777,6843
2020-12-06 18:31:29.431130171,6832
2020-12-06 18:31:34.512411594,6840
2020-12-06 18:31:39.582682133,6853
2020-12-06 18:31:44.652571440,6868
2020-12-06 18:31:49.719021320,6880
2020-12-06 18:31:54.802765369,6861
2020-12-06 18:31:59.942028522,6859
2020-12-06 18:32:05.048709631,6889
2020-12-06 18:32:10.167446613,6884
2020-12-06 18:32:15.242527962,6902
2020-12-06 18:32:20.366726637,6924
2020-12-06 18:32:25.487539530,6920
2020-12-06 18:32:30.629408836,6921
2020-12-06 18:32:35.743499756,6957
2020-12-06 18:32:40.863882303,6947
